epoch,grad_norm,learning_rate,loss,step,eval_accuracy_branch1,eval_accuracy_branch2,eval_f1_branch1,eval_f1_branch2,eval_lambda,eval_loss,eval_precision_branch1,eval_precision_branch2,eval_recall_branch1,eval_recall_branch2,eval_runtime,eval_samples_per_second,eval_steps_per_second
0.004627487274409995,15.27155876159668,0.09999167052290607,1.8494,10,,,,,,,,,,,,,
0.00925497454881999,11.639201164245605,0.09998241554835724,1.6807,20,,,,,,,,,,,,,
0.013882461823229986,13.493592262268066,0.09997316057380842,1.5993,30,,,,,,,,,,,,,
0.01850994909763998,16.3101806640625,0.0999639055992596,1.6018,40,,,,,,,,,,,,,
0.02313743637204998,11.90476131439209,0.09995465062471079,1.6171,50,,,,,,,,,,,,,
0.027764923646459973,10.942829132080078,0.09994539565016197,1.5264,60,,,,,,,,,,,,,
0.03239241092086997,9.343962669372559,0.09993614067561314,1.45,70,,,,,,,,,,,,,
0.03701989819527996,10.024292945861816,0.09992688570106434,1.3911,80,,,,,,,,,,,,,
0.041647385469689956,10.480772018432617,0.09991763072651551,1.467,90,,,,,,,,,,,,,
0.04627487274409996,14.03603744506836,0.09990837575196669,1.4674,100,,,,,,,,,,,,,
0.05090236001850995,11.39393424987793,0.09989912077741786,1.3798,110,,,,,,,,,,,,,
0.055529847292919945,7.620282173156738,0.09988986580286904,1.4301,120,,,,,,,,,,,,,
0.06015733456732994,12.405778884887695,0.09988061082832023,1.331,130,,,,,,,,,,,,,
0.06478482184173993,8.124428749084473,0.09987135585377141,1.489,140,,,,,,,,,,,,,
0.06941230911614993,8.700652122497559,0.09986210087922259,1.4736,150,,,,,,,,,,,,,
0.07403979639055992,10.26476764678955,0.09985284590467376,1.4674,160,,,,,,,,,,,,,
0.07866728366496992,9.636362075805664,0.09984359093012495,1.4111,170,,,,,,,,,,,,,
0.08329477093937991,8.425475120544434,0.09983433595557613,1.4539,180,,,,,,,,,,,,,
0.0879222582137899,9.303081512451172,0.09982508098102731,1.4139,190,,,,,,,,,,,,,
0.09254974548819991,11.881719589233398,0.09981582600647848,1.3887,200,,,,,,,,,,,,,
0.09717723276260991,9.036062240600586,0.09980657103192966,1.3222,210,,,,,,,,,,,,,
0.1018047200370199,11.992362976074219,0.09979731605738085,1.3665,220,,,,,,,,,,,,,
0.1064322073114299,10.648683547973633,0.09978806108283203,1.3262,230,,,,,,,,,,,,,
0.11105969458583989,13.7421293258667,0.09977880610828321,1.3175,240,,,,,,,,,,,,,
0.11568718186024989,11.700023651123047,0.09976955113373438,1.3198,250,,,,,,,,,,,,,
0.12031466913465988,6.7338433265686035,0.09976029615918557,1.3376,260,,,,,,,,,,,,,
0.12494215640906987,7.958714008331299,0.09975104118463675,1.2175,270,,,,,,,,,,,,,
0.12956964368347987,8.92713451385498,0.09974178621008793,1.2923,280,,,,,,,,,,,,,
0.13419713095788988,8.740510940551758,0.0997325312355391,1.2986,290,,,,,,,,,,,,,
0.13882461823229986,9.789094924926758,0.09972327626099028,1.3092,300,,,,,,,,,,,,,
0.14345210550670986,9.041563034057617,0.09971402128644147,1.3843,310,,,,,,,,,,,,,
0.14807959278111985,9.327390670776367,0.09970476631189265,1.2139,320,,,,,,,,,,,,,
0.15270708005552985,8.99449634552002,0.09969551133734383,1.2308,330,,,,,,,,,,,,,
0.15733456732993983,6.73094367980957,0.099686256362795,1.1023,340,,,,,,,,,,,,,
0.16196205460434984,8.56143856048584,0.09967700138824619,1.1769,350,,,,,,,,,,,,,
0.16658954187875982,7.302567958831787,0.09966774641369737,1.205,360,,,,,,,,,,,,,
0.17121702915316983,8.475621223449707,0.09965849143914855,1.2395,370,,,,,,,,,,,,,
0.1758445164275798,6.285458087921143,0.09964923646459972,1.2865,380,,,,,,,,,,,,,
0.18047200370198982,10.22427749633789,0.0996399814900509,1.3452,390,,,,,,,,,,,,,
0.18509949097639983,4.559904098510742,0.09963072651550209,1.1993,400,,,,,,,,,,,,,
0.1897269782508098,6.4375224113464355,0.09962147154095327,1.1729,410,,,,,,,,,,,,,
0.19435446552521982,6.548631191253662,0.09961221656640445,1.1907,420,,,,,,,,,,,,,
0.1989819527996298,9.16483211517334,0.09960296159185562,1.2286,430,,,,,,,,,,,,,
0.2036094400740398,6.801567554473877,0.09959370661730681,1.3353,440,,,,,,,,,,,,,
0.20823692734844979,9.568095207214355,0.09958445164275799,1.3164,450,,,,,,,,,,,,,
0.2128644146228598,7.182643413543701,0.09957519666820917,1.169,460,,,,,,,,,,,,,
0.21749190189726977,8.113290786743164,0.09956594169366034,1.3177,470,,,,,,,,,,,,,
0.22211938917167978,6.001410484313965,0.09955668671911153,1.1974,480,,,,,,,,,,,,,
0.22674687644608976,6.70702600479126,0.09954743174456271,1.3096,490,,,,,,,,,,,,,
0.23137436372049977,5.966632843017578,0.09953817677001389,1.2629,500,,,,,,,,,,,,,
0.23600185099490975,8.679630279541016,0.09952892179546508,1.2053,510,,,,,,,,,,,,,
0.24062933826931976,5.806013584136963,0.09951966682091624,1.2735,520,,,,,,,,,,,,,
0.24525682554372977,7.602814197540283,0.09951041184636743,1.2804,530,,,,,,,,,,,,,
0.24988431281813975,5.454442501068115,0.09950115687181861,1.2088,540,,,,,,,,,,,,,
0.25451180009254976,5.6718573570251465,0.0994919018972698,1.2763,550,,,,,,,,,,,,,
0.25913928736695974,6.009081840515137,0.09948264692272096,1.1703,560,,,,,,,,,,,,,
0.2637667746413697,5.411794185638428,0.09947339194817215,1.1777,570,,,,,,,,,,,,,
